"","Folder","Image Name","Origin","Accession #","Fossil/extant","Tooth Type","Side","Family","Tribe","Genus","Species","User ID","ML or BW"
"3045",NA,"DSCN6688","TM","35472","Extant","LM1","R","Bovidae","Reduncini","Kobus","leche","RSK","ML"
"3046",NA,"DSCN6686","TM","35476","Extant","LM1","L","Bovidae","Reduncini","Kobus","leche","RSK","ML"
"3047",NA,"DSCN6690","TM","35479","Extant","LM1","R","Bovidae","Reduncini","Kobus","leche","RSK","ML"
"3048",NA,"DSCN6694","TM","35482","Extant","LM1","L","Bovidae","Reduncini","Kobus","leche","RSK","ML"
"3049",NA,"DSCN6698","TM","35477","Extant","LM1","R","Bovidae","Reduncini","Kobus","leche","RSK","ML"
"3050",NA,"DSCN6702","TM","17115","Extant","LM1","L","Bovidae","Reduncini","Kobus","leche","RSK","ML"
"3051",NA,"DSCN6706","TM","35467","Extant","LM1","L","Bovidae","Reduncini","Kobus","leche","RSK","ML"
"3052",NA,"DSCN6710","TM","17124","Extant","LM1","L","Bovidae","Reduncini","Kobus","leche","RSK","ML"
"3053",NA,"DSCN6714","TM","35471","Extant","LM1","L","Bovidae","Reduncini","Kobus","leche","RSK","ML"
"3054",NA,"DSCN6718","TM","AZ 539","Extant","LM1","L","Bovidae","Reduncini","Kobus","leche","RSK","ML"
"3055",NA,"DSCN6722","TM","35469","Extant","LM1","L","Bovidae","Reduncini","Kobus","leche","RSK","ML"
"3056",NA,"DSCN6725","TM","35468","Extant","LM1","L","Bovidae","Reduncini","Kobus","leche","RSK","ML"
"3057",NA,"DSCN6729","TM","17102","Extant","LM1","L","Bovidae","Reduncini","Kobus","leche","RSK","ML"
"3058",NA,"DSCN6733","TM","16708","Extant","LM1","L","Bovidae","Reduncini","Kobus","leche","RSK","ML"
"3059",NA,"DSCN6737","TM","35481","Extant","LM1","L","Bovidae","Reduncini","Kobus","leche","RSK","ML"
"3060",NA,"DSCN6741","TM","35484","Extant","LM1","L","Bovidae","Reduncini","Kobus","leche","RSK","ML"
"3061",NA,"DSCN6745","TM","35480","Extant","LM1","L","Bovidae","Reduncini","Kobus","leche","RSK","ML"
"3062",NA,"DSCN6749","TM","35470","Extant","LM1","R","Bovidae","Reduncini","Kobus","leche","RSK","ML"
"3063",NA,"DSCN6756","TM","35485","Extant","LM1","L","Bovidae","Reduncini","Kobus","leche","RSK","ML"
"3064",NA,"DSCN6760","TM","AZ 780","Extant","LM1","L","Bovidae","Reduncini","Kobus","leche","RSK","ML"
"3065",NA,"DSCN3522","NMB","8714","Extant","LM2","L","Bovidae","Reduncini","Kobus","leche","RSK","ML"
"3066",NA,"DSCN6670","TM","17103","Extant","LM2","R","Bovidae","Reduncini","Kobus","leche","RSK","ML"
"3067",NA,"DSCN6674","TM","17139","Extant","LM2","L","Bovidae","Reduncini","Kobus","leche","RSK","ML"
"3068",NA,"DSCN6678","TM","35475","Extant","LM2","L","Bovidae","Reduncini","Kobus","leche","RSK","ML"
"3069",NA,"DSCN6682","TM","35472","Extant","LM2","L","Bovidae","Reduncini","Kobus","leche","RSK","ML"
"3070",NA,"DSCN6685","TM","35476","Extant","LM2","L","Bovidae","Reduncini","Kobus","leche","RSK","ML"
"3071",NA,"DSCN6693","TM","35482","Extant","LM2","L","Bovidae","Reduncini","Kobus","leche","RSK","ML"
"3072",NA,"DSCN6697","TM","35477","Extant","LM2","R","Bovidae","Reduncini","Kobus","leche","RSK","ML"
"3073",NA,"DSCN6701","TM","17115","Extant","LM2","L","Bovidae","Reduncini","Kobus","leche","RSK","ML"
"3074",NA,"DSCN6705","TM","35467","Extant","LM2","L","Bovidae","Reduncini","Kobus","leche","RSK","ML"
"3075",NA,"DSCN6709","TM","17124","Extant","LM2","L","Bovidae","Reduncini","Kobus","leche","RSK","ML"
"3076",NA,"DSCN6713","TM","35471","Extant","LM2","L","Bovidae","Reduncini","Kobus","leche","RSK","ML"
"3077",NA,"DSCN6717","TM","AZ 539","Extant","LM2","L","Bovidae","Reduncini","Kobus","leche","RSK","ML"
"3078",NA,"DSCN6721","TM","35469","Extant","LM2","L","Bovidae","Reduncini","Kobus","leche","RSK","ML"
"3079",NA,"DSCN6724","TM","35468","Extant","LM2","L","Bovidae","Reduncini","Kobus","leche","RSK","ML"
"3080",NA,"DSCN6728","TM","17102","Extant","LM2","L","Bovidae","Reduncini","Kobus","leche","RSK","ML"
"3081",NA,"DSCN6732","TM","16708","Extant","LM2","L","Bovidae","Reduncini","Kobus","leche","RSK","ML"
"3082",NA,"DSCN6736","TM","35481","Extant","LM2","L","Bovidae","Reduncini","Kobus","leche","RSK","ML"
"3083",NA,"DSCN6740","TM","35484","Extant","LM2","L","Bovidae","Reduncini","Kobus","leche","RSK","ML"
"3084",NA,"DSCN6744","TM","35480","Extant","LM2","L","Bovidae","Reduncini","Kobus","leche","RSK","ML"
"3085",NA,"DSCN6748","TM","35470","Extant","LM2","L","Bovidae","Reduncini","Kobus","leche","RSK","ML"
"3086",NA,"DSCN6755","TM","35485","Extant","LM2","R","Bovidae","Reduncini","Kobus","leche","RSK","ML"
"3087",NA,"DSCN6759","TM","AZ 780","Extant","LM2","L","Bovidae","Reduncini","Kobus","leche","RSK","ML"
"3088",NA,"DSCN3521","NMB","8714","Extant","LM3","L","Bovidae","Reduncini","Kobus","leche","RSK","ML"
"3089",NA,"DSCN6669","TM","17103","Extant","LM3","L","Bovidae","Reduncini","Kobus","leche","RSK","ML"
"3090",NA,"DSCN6673","TM","17139","Extant","LM3","L","Bovidae","Reduncini","Kobus","leche","RSK","ML"
"3091",NA,"DSCN6677","TM","35475","Extant","LM3","L","Bovidae","Reduncini","Kobus","leche","RSK","ML"
"3092",NA,"DSCN6681","TM","35472","Extant","LM3","L","Bovidae","Reduncini","Kobus","leche","RSK","ML"
"3093",NA,"DSCN6684","TM","35476","Extant","LM3","L","Bovidae","Reduncini","Kobus","leche","RSK","ML"
"3094",NA,"DSCN6689","TM","35479","Extant","LM3","R","Bovidae","Reduncini","Kobus","leche","RSK","ML"
"3095",NA,"DSCN6692","TM","35482","Extant","LM3","L","Bovidae","Reduncini","Kobus","leche","RSK","ML"
